doi,year,title,journal_name,publisher,bso_classification
10.1007/s13341-016-0681-5,2016,Formation universitaire à l’échographie clinique d’urgence : impacts et facteurs déterminants,Annales françaises de médecine d'urgence,Lavoisier,Medical research
10.1117/12.2231811,2016,Correction of NIRI/ Altair non-common path aberrations using focal plane sharpening,Adaptive Optics Systems V,SPIE,Biology (fond.)
10.3847/1538-4357/833/2/159,2016,ON THE UNIVERSAL LATE X-RAY EMISSION OF BINARY-DRIVEN HYPERNOVAE AND ITS POSSIBLE COLLIMATION,The Astrophysical Journal,American Astronomical Society,Medical research
10.1016/j.amjsurg.2016.03.008,2017,Peritoneal carcinomatosis of colorectal cancer: novel clinical and molecular outcomes,The American Journal of Surgery,Elsevier BV,Mathematics
10.1016/j.algal.2016.11.001,2017,Calibration of a productivity model for the microalgae Dunaliella salina accounting for light and temperature,Algal Research,Elsevier BV,Mathematics
10.1016/j.clnu.2016.12.008,2017,Corrigendum to “ESPEN guidelines on chronic intestinal failure in adults” [Clin Nutr 35 (2) (2016) 247–307],Clinical Nutrition,Elsevier BV,Mathematics
10.1371/journal.pone.0169359,2017,COPD in HIV-Infected Patients: CD4 Cell Count Highly Correlated,PLOS ONE,Public Library of Science (PLoS),"Computer and 
 information sciences"
10.1080/13501763.2016.1268643,2018,This time it’s different? Effects of the Eurovision Debate on young citizens and its consequence for EU democracy – evidence from a quasi-experiment in 24 countries,Journal of European Public Policy,Informa UK Limited,Mathematics
10.1117/12.2234299,2016,Efficiently feeding single-mode fiber photonic spectrographs with an extreme adaptive optics system: on-sky characterization and preliminary spectroscopy,Ground-based and Airborne Instrumentation for Astronomy VI,SPIE,Mathematics
10.1016/j.proeng.2016.07.558,2016,Assessment of High Resolution Topography Impacts on Deterministic Distributed Hydrological Model in Extreme Rainfall-runoff Simulation,Procedia Engineering,Elsevier BV,Mathematics
10.1016/j.ctro.2020.12.008,2021,High-dose rate brachytherapy in localized penile cancer: 5-Year clinical outcome analysis,Clinical and Translational Radiation Oncology,Elsevier BV,Mathematics
10.1016/j.ejor.2021.01.039,2021,Maximizing the expected net present value in a project with uncertain cash flows,European Journal of Operational Research,Elsevier BV,"Computer and 
 information sciences"
10.1117/12.2576349,2020,On-sky performance and recent results from the Subaru coronagraphic extreme adaptive optics system,Adaptive Optics Systems VII,SPIE,Mathematics
10.1016/j.ijrobp.2020.12.029,2021,Salvage Mastectomy Versus Second Conservative Treatment for Second Ipsilateral Breast Tumor Event: A Propensity Score-Matched Cohort Analysis of the GEC-ESTRO Breast Cancer Working Group Database,International Journal of Radiation Oncology*Biology*Physics,Elsevier BV,Engineering
10.1117/12.2560453,2020,The power spectrum extended technique applied to images of binary stars in the infrared,Adaptive Optics Systems VII,SPIE,Chemistry
10.1007/s00590-021-02878-5,2021,Transfacet screws using spinal navigation in addition to anterior or oblique lumbar interbody fusion: technical note and preliminary results,European Journal of Orthopaedic Surgery & Traumatology,Springer Science and Business Media LLC,Chemistry
10.22489/CinC.2020.442,2020,Slow Conduction Regions as a Caluable Vectorcardiographic Parameter for the Non-Invasive Identification of Atrial Flutter Types,2020 Computing in Cardiology Conference (CinC),Computing in Cardiology,"Computer and 
 information sciences"
10.1089/hum.2020.263,2021,Safe and Effective In Vivo Targeting and Gene Editing in Hematopoietic Stem Cells: Strategies for Accelerating Development,Human Gene Therapy,Mary Ann Liebert Inc,Chemistry
10.1093/MNRAS/STAA1449,2020,ALMA reveals the coherence of the magnetic field geometry in OH 231.8+4.2,Monthly Notices of the Royal Astronomical Society,Oxford University Press (OUP),"Physical sciences, Astronomy"
10.1063/5.0037227,2021,Impact of electron temperature anisotropy on the collisionless tearing mode instability in the presence of a strong guide field,Physics of Plasmas,AIP Publishing,Mathematics
10.1038/s41598-021-83523-3,2021,Shear stress affects the architecture and cohesion of Chlorella vulgaris biofilms,Scientific Reports,Springer Science and Business Media LLC,"Computer and 
 information sciences"
10.1016/j.clnu.2020.12.017,2021,Prevalence of hypophosphatemia in the ICU – Results of an international one-day point prevalence survey,Clinical Nutrition,Elsevier BV,"Computer and 
 information sciences"
10.1007/s00296-020-04784-1,2021,Topographical analysis of structural lesions between dominant and non-dominant hands in erosive osteoarthritis,Rheumatology International,Springer Science and Business Media LLC,"Computer and 
 information sciences"
10.1016/j.vaccine.2021.01.054,2021,"Multisystem inflammatory syndrome in children and adults (MIS-C/A): Case definition &amp; guidelines for data collection, analysis, and presentation of immunization safety data",Vaccine,Elsevier BV,Mathematics
10.1016/j.annpat.2020.12.009,2021,Les lésions histologiques associées à l’infection par le SARS-CoV-2,Annales de Pathologie,Elsevier BV,"Physical sciences, Astronomy"
10.1038/s42003-021-01653-w,2021,"Plk1, upregulated by HIF-2, mediates metastasis and drug resistance of clear cell renal cell carcinoma",Communications Biology,Springer Science and Business Media LLC,"Physical sciences, Astronomy"
10.23919/Eusipco47968.2020.9287624,2021,Online Kernel-Based Graph Topology Identification with Partial-Derivative-Imposed Sparsity,2020 28th European Signal Processing Conference (EUSIPCO),IEEE,"Computer and 
 information sciences"
10.1007/978-3-030-49836-8_2,2021,Approximation Power of C 1-Smooth Isogeometric Splines on Volumetric Two-Patch Domains,Isogeometric Analysis and Applications 2018,Springer International Publishing,"Physical sciences, Astronomy"
10.1186/s13613-021-00823-7,2021,Non-invasive ventilation alternating with high-flow nasal oxygen versus high-flow nasal oxygen alone after extubation in COPD patients: a post hoc analysis of a randomized controlled trial,Annals of Intensive Care,Springer Science and Business Media LLC,"Physical sciences, Astronomy"
10.1016/S0140-6736(21)00316-0,2021,Cabozantinib: a new first-line option for papillary renal cell carcinoma?,The Lancet,Elsevier BV,Biology (fond.)
10.1016/j.ogla.2020.10.008,2021,OCT Signal Enhancement with Deep Learning,Ophthalmology Glaucoma,Elsevier BV,"Physical sciences, Astronomy"
10.1007/978-981-15-5436-0_18,2020,An Innovative DEM Improvement Technique for Highly Dense Urban Cities,Springer Water,Springer Singapore,"Physical sciences, Astronomy"
10.1007/s10444-020-09829-4,2021,Polynomial spline spaces of non-uniform bi-degree on T-meshes: combinatorial bounds on the dimension,Advances in Computational Mathematics,Springer Science and Business Media LLC,"Earth, Ecology, 
Energy and applied biology"
10.1007/s00285-021-01566-6,2021,Global dynamics of the chemostat with overflow metabolism,Journal of Mathematical Biology,Springer Science and Business Media LLC,"Physical sciences, Astronomy"
10.1093/gji/ggaa520,2021,On the role of solute drag in reconciling laboratory and natural constraints on olivine grain growth kinetics,Geophysical Journal International,Oxford University Press (OUP),"Physical sciences, Astronomy"
10.1001/jama.2021.0135,2021,Effect of a Restrictive vs Liberal Blood Transfusion Strategy on Major Cardiovascular Events Among Patients With Acute Myocardial Infarction and Anemia,JAMA,American Medical Association (AMA),"Physical sciences, Astronomy"
10.1016/j.dental.2021.01.010,2021,"A numerical, theoretical and experimental study of the effect of thermocycling on the matrix-filler interface of dental restorative materials",Dental Materials,Elsevier BV,"Physical sciences, Astronomy"
10.1007/s11845-020-02465-3,2021,French survey on a cohort of emergency general surgery modifications induced by lockdown of the SARS-CoV-2 pandemic,Irish Journal of Medical Science (1971 -),Springer Science and Business Media LLC,"Physical sciences, Astronomy"
10.1016/j.ejor.2020.12.045,2021,Single-machine scheduling with an external resource,European Journal of Operational Research,Elsevier BV,"Physical sciences, Astronomy"
10.1007/978-1-0716-1032-9_1,2021,"Qualitative Modeling, Analysis and Control of Synthetic Regulatory Circuits",Synthetic Gene Circuits,Springer US,"Physical sciences, Astronomy"
10.7554/ELIFE.59142,2021,Pituitary stem cells produce paracrine WNT signals to control the expansion of their descendant progenitor cells,eLife,"eLife Sciences Publications, Ltd",Biology (fond.)
10.3389/fbioe.2021.615218,2021,All-Polymer Printed Low-Cost Regenerative Nerve Cuff Electrodes,Frontiers in Bioengineering and Biotechnology,Frontiers Media SA,"Physical sciences, Astronomy"
10.1038/s41591-020-01189-2,2021,Durvalumab compared to maintenance chemotherapy in metastatic breast cancer: the randomized phase II SAFIR02-BREAST IMMUNO trial,Nature Medicine,Springer Science and Business Media LLC,"Physical sciences, Astronomy"
10.1109/ICARCV50220.2020.9305363,2020,Model Predictive Path Integral Control Framework for Partially Observable Navigation: A Quadrotor Case Study,"2020 16th International Conference on Control, Automation, Robotics and Vision (ICARCV)",IEEE,"Computer and 
 information sciences"
10.1117/12.2562433,2020,Dimensioning adaptive optics for future VLTI projects,Adaptive Optics Systems VII,SPIE,"Earth, Ecology, 
Energy and applied biology"
10.1016/j.chaos.2021.110665,2021,"Black swans, extreme risks, and the e-pile model of self-organized criticality","Chaos, Solitons &amp; Fractals",Elsevier BV,Medical research
10.1051/0004-6361/202039583,2021,Spatial linear dark field control on Subaru/SCExAO,Astronomy &amp; Astrophysics,EDP Sciences,"Physical sciences, Astronomy"
10.1038/s41416-020-01246-0,2021,More light on cancer and COVID-19 reciprocal interaction,British Journal of Cancer,Springer Science and Business Media LLC,"Physical sciences, Astronomy"
10.1109/FG47880.2020.00075,2020,Semi-supervised Emotion Recognition using Inconsistently Annotated Data,2020 15th IEEE International Conference on Automatic Face and Gesture Recognition (FG 2020),IEEE,"Computer and 
 information sciences"
10.1109/CDC42340.2020.9304088,2020,Control of negative feedback loops in genetic networks,2020 59th IEEE Conference on Decision and Control (CDC),IEEE,"Computer and 
 information sciences"
10.3917/spub.204.0371,2020,Patient partenaire : de la pratique à la recherche,Santé Publique,CAIRN,"Earth, Ecology, 
Energy and applied biology"
10.3389/fcvm.2020.539788,2020,"Pathological Cluster Identification by Unsupervised Analysis in 3,822 UK Biobank Cardiac MRIs",Frontiers in Cardiovascular Medicine,Frontiers Media SA,"Computer and 
 information sciences"
10.1111/ajt.16424,2021,Is COVID‐19 infection more severe in kidney transplant recipients?,American Journal of Transplantation,Wiley,Engineering
10.1016/j.jmateco.2021.102493,2021,Spatial dynamics of major infectious diseases outbreaks: A global empirical assessment,Journal of Mathematical Economics,Elsevier BV,"Physical sciences, Astronomy"
10.1016/j.techfore.2020.120483,2021,Assessing the effect of 3D printing technologies on entrepreneurship: An exploratory study,Technological Forecasting and Social Change,Elsevier BV,"Physical sciences, Astronomy"
10.3390/cells10010168,2021,Detecting Resistance to Therapeutic ALK Inhibitors in Tumor Tissue and Liquid Biopsy Markers: An Update to a Clinical Routine Practice,Cells,MDPI AG,"Computer and 
 information sciences"
10.1038/s41564-020-00832-5,2021,Escherichia coli Rho GTPase-activating toxin CNF1 mediates NLRP3 inflammasome activation via p21-activated kinases-1/2 during bacteraemia in mice,Nature Microbiology,Springer Science and Business Media LLC,Humanities
10.1080/10428194.2021.1881505,2021,Data from French named patient program of quizartinib in relapsed/refractory acute myeloid leukemia,Leukemia & Lymphoma,Informa UK Limited,"Computer and 
 information sciences"
10.1016/j.jtho.2021.01.1617,2021,Prospective Multicenter Validation of the Detection of ALK Rearrangements of Circulating Tumor Cells for Noninvasive Longitudinal Management of Patients With Advanced NSCLC,Journal of Thoracic Oncology,Elsevier BV,Biology (fond.)
10.1109/TGRS.2020.3006161,2021,"DAugNet: Unsupervised, Multisource, Multitarget, and Life-Long Domain Adaptation for Semantic Segmentation of Satellite Images",IEEE Transactions on Geoscience and Remote Sensing,Institute of Electrical and Electronics Engineers (IEEE),"Computer and 
 information sciences"
10.1186/s12903-021-01433-2,2021,Prioritization of predisposing factors of gingival hyperplasia during orthodontic treatment: the role of amount of biofilm,BMC Oral Health,Springer Science and Business Media LLC,"Computer and 
 information sciences"
10.1080/09286586.2021.1880605,2021,Incidence of Dacryocystorhinostomy (DCR) in France: A Nationwide Study over the 2010-2019 Period,Ophthalmic Epidemiology,Informa UK Limited,"Computer and 
 information sciences"
10.3389/fmed.2020.608804,2021,"Humoral and Cellular Response of Frontline Health Care Workers Infected by SARS-CoV-2 in Nice, France: A Prospective Single-Center Cohort Study",Frontiers in Medicine,Frontiers Media SA,"Computer and 
 information sciences"
10.1109/ITSC45102.2020.9294526,2020,Proactive Longitudinal Velocity Control In Pedestrians-Vehicle Interaction Scenarios,2020 IEEE 23rd International Conference on Intelligent Transportation Systems (ITSC),IEEE,"Computer and 
 information sciences"
10.1016/j.jmateco.2021.102473,2021,Epidemics and macroeconomic outcomes: Social distancing intensity and duration,Journal of Mathematical Economics,Elsevier BV,"Computer and 
 information sciences"
10.1111/ipd.12752,2021,Restorative thresholds for primary and permanent molars in children: French dentist decisions,International Journal of Paediatric Dentistry,Wiley,"Computer and 
 information sciences"
10.1016/S1877-1203(20)30731-X,2020,Biothérapies dans l’asthme sévère de l’enfant et de l’adolescent,Revue des Maladies Respiratoires Actualités,Elsevier BV,Medical research
10.1117/12.2562461,2020,Performance analysis of the adaptive secondary mirror for the UH2.2 telescope,Adaptive Optics Systems VII,SPIE,Medical research
10.1002/ejsp.2713,2021,Sexism and racism perceptions: It depends on who does it and why,European Journal of Social Psychology,Wiley,Medical research
10.1109/IEEECONF35879.2020.9330245,2020,Open-Source 4G Experimental Setup,2020 IEEE International Symposium on Antennas and Propagation and North American Radio Science Meeting,IEEE,"Computer and 
 information sciences"
10.1080/00036846.2020.1870651,2021,Global financial interconnectedness: a non-linear assessment of the uncertainty channel,Applied Economics,Informa UK Limited,Biology (fond.)
10.1177/1526602821989339,2021,Measurement of Aneurysm Volumes After Endovascular Aortic Aneurysm Repair as a Predictive Factor of Postoperative Complications,Journal of Endovascular Therapy,SAGE Publications,Medical research
10.1016/j.jid.2020.12.028,2021,"Efficacy and Safety of Tacrolimus 0.1% for the Treatment of Facial Vitiligo: A Multicenter Randomized, Double-Blinded, Vehicle-Controlled Study",Journal of Investigative Dermatology,Elsevier BV,Medical research
10.1016/j.frl.2021.101964,2021,African firm default risk and CSR,Finance Research Letters,Elsevier BV,"Computer and 
 information sciences"
10.3389/fmed.2020.603961,2021,Functional Exhaustion of Type I and II Interferons Production in Severe COVID-19 Patients,Frontiers in Medicine,Frontiers Media SA,Medical research
10.1109/IC_ASET49463.2020.9318262,2020,A new approch to detect N400 event-related potentials in giftedness children,2020 4th International Conference on Advanced Systems and Emergent Technologies (IC_ASET),IEEE,Social sciences
10.1051/0004-6361/202039709,2021,<i>Gaia</i> Early Data Release 3,Astronomy &amp; Astrophysics,EDP Sciences,Medical research
10.1109/TMI.2021.3056531,2021,Learning a Generative Motion Model From Image Sequences Based on a Latent Motion Matrix,IEEE Transactions on Medical Imaging,Institute of Electrical and Electronics Engineers (IEEE),"Computer and 
 information sciences"
10.1038/s41418-020-00730-7,2021,Single-cell RNA sequencing reveals intratumoral heterogeneity in primary uveal melanomas and identifies HES6 as a driver of the metastatic disease,Cell Death &amp; Differentiation,Springer Science and Business Media LLC,Medical research
10.1016/j.envint.2021.106400,2021,Sustained bloodstream release of persistent organic pollutants induced by extensive weight loss after bariatric surgery: Implications for women of childbearing age,Environment International,Elsevier BV,Medical research
10.1016/j.jsc.2021.01.004,2021,Multivariate interpolation: Preserving and exploiting symmetry,Journal of Symbolic Computation,Elsevier BV,Medical research
10.1093/neuros/nyaa373,2021,Long-Term Efficacy of Occipital Nerve Stimulation for Medically Intractable Cluster Headache,Neurosurgery,Ovid Technologies (Wolters Kluwer Health),Medical research
10.1007/s11701-020-01181-5,2021,Comparative analysis of robotic versus laparoscopic Roux-en-Y gastric bypass in severely obese patients,Journal of Robotic Surgery,Springer Science and Business Media LLC,"Computer and 
 information sciences"
10.4000/TEM.6477,2021,Administration du coronavirus au Japon : réussites et déboires,Territoire en mouvement,OpenEdition,Humanities
10.3389/fonc.2020.613089,2021,Early Toxicities After High Dose Rate Proton Therapy in Cancer Treatments,Frontiers in Oncology,Frontiers Media SA,Medical research
10.3390/polym13030372,2021,Non-Furanic Humins-Based Non-Isocyanate Polyurethane (NIPU) Thermoset Wood Adhesives,Polymers,MDPI AG,Medical research
10.1016/j.jse.2020.11.005,2021,Response to Letter to the Editor regarding: “Fracture of pyrocarbon humeral head resurfacing implant: a case report”,Journal of Shoulder and Elbow Surgery,Elsevier BV,Medical research
10.3997/2214-4609.2020622008,2020,Characteristics and genesis of hypogenic karsts in carbonate successions: inferences for hydrocarbon and geothermal systems,Fourth Naturally Fractured Reservoir Workshop,European Association of Geoscientists & Engineers,Social sciences
10.1109/JSTSP.2021.3054338,2021,Coupled Tensor Decomposition for Hyperspectral and Multispectral Image Fusion With Inter-Image Variability,IEEE Journal of Selected Topics in Signal Processing,Institute of Electrical and Electronics Engineers (IEEE),"Computer and 
 information sciences"
10.1001/jamanetworkopen.2020.31190,2021,Association of Immunosuppression and Viral Load With Subcortical Brain Volume in an International Sample of People Living With HIV,JAMA Network Open,American Medical Association (AMA),Medical research
10.1177/1352458520981300,2021,Determinants of therapeutic lag in multiple sclerosis,Multiple Sclerosis Journal,SAGE Publications,Medical research
10.1007/s11001-021-09429-x,2021,Shallow gas hydrates off southwest Taiwan and their mechanisms,Marine Geophysical Research,Springer Science and Business Media LLC,Medical research
10.1109/CDC42340.2020.9304115,2020,Optimal control separating two microalgae species competing in a chemostat,2020 59th IEEE Conference on Decision and Control (CDC),IEEE,"Computer and 
 information sciences"
10.1109/WACV48630.2021.00241,2021,Selective Spatio-Temporal Aggregation Based Pose Refinement System: Towards Understanding Human Activities in Real-World Videos,2021 IEEE Winter Conference on Applications of Computer Vision (WACV),IEEE,"Computer and 
 information sciences"
10.1001/jamaoncol.2020.7932,2021,Efficacy of Margetuximab vs Trastuzumab in Patients With Pretreated ERBB2-Positive Advanced Breast Cancer,JAMA Oncology,American Medical Association (AMA),Medical research
10.1200/JCO.20.02341,2021,Eprenetapopt (APR-246) and Azacitidine in <i>TP53</i>-Mutant Myelodysplastic Syndromes,Journal of Clinical Oncology,American Society of Clinical Oncology (ASCO),Medical research
10.1016/j.esmoop.2020.100024,2021,Clinical and molecular practice of European thoracic pathology laboratories during the COVID-19 pandemic. The past and the near future,ESMO Open,Elsevier BV,Medical research
10.1111/pcmr.12958,2021,Germline variants in exonic regions have limited impact on immune checkpoint blockade clinical outcomes in advanced melanoma,Pigment Cell & Melanoma Research,Wiley,Medical research
10.3390/biomedicines9010040,2021,Distinct Shades of Adipocytes Control the Metabolic Roles of Adipose Tissues: From Their Origins to Their Relevance for Medical Applications,Biomedicines,MDPI AG,Medical research
10.1016/j.cam.2020.113278,2021,Efficient matrix assembly in isogeometric analysis with hierarchical B-splines,Journal of Computational and Applied Mathematics,Elsevier BV,"Physical sciences, Astronomy"
10.1016/j.nicl.2021.102571,2021,Homotopic redistribution of functional connectivity in insula-centered diffuse low-grade glioma,NeuroImage: Clinical,Elsevier BV,"Computer and 
 information sciences"
10.1117/12.2562847,2020,A new adaptive secondary mirror for astronomy on the University of Hawaii 2.2-meter telescope,Adaptive Optics Systems VII,SPIE,"Computer and 
 information sciences"
10.1186/s13046-021-01832-x,2021,Neuropilin 1 and Neuropilin 2 gene invalidation or pharmacological inhibition reveals their relevance for the treatment of metastatic renal cell carcinoma,Journal of Experimental &amp; Clinical Cancer Research,Springer Science and Business Media LLC,"Computer and 
 information sciences"
10.23919/Eusipco47968.2020.9287345,2021,Online Dominant Generalized Eigenvectors Extraction Via A Randomized Method,2020 28th European Signal Processing Conference (EUSIPCO),IEEE,"Computer and 
 information sciences"
10.23919/Eusipco47968.2020.9287747,2021,Online Graph-Based Change Point Detection in Multiband Image Sequences,2020 28th European Signal Processing Conference (EUSIPCO),IEEE,"Computer and 
 information sciences"
10.3390/app11020870,2021,Human-Centered Artificial Intelligence for Designing Accessible Cultural Heritage,Applied Sciences,MDPI AG,"Computer and 
 information sciences"
10.3390/axioms10010017,2021,A Three-Phase Fundamental Diagram from Three-Dimensional Traffic Data,Axioms,MDPI AG,"Computer and 
 information sciences"
10.1117/12.2563223,2020,Developing adaptive secondary mirror concepts for the APF and W.M. Keck Observatory based on HVR technology,Adaptive Optics Systems VII,SPIE,"Computer and 
 information sciences"
10.3390/e23020155,2021,Linear Response of General Observables in Spiking Neuronal Network Models,Entropy,MDPI AG,"Computer and 
 information sciences"
10.1016/j.hansur.2021.01.007,2021,Vascularization of the lateral and medial antebrachial cutaneous nerves by cutaneous perforator arteries: An anatomical study,Hand Surgery and Rehabilitation,Elsevier BV,Mathematics
10.1016/j.neurol.2020.11.012,2021,Severe migraine and its control: A proposal for definitions and consequences for care,Revue Neurologique,Elsevier BV,Medical research
10.1016/j.encep.2020.11.002,2021,Quels facteurs expliquent la durée d’hospitalisation pour anorexie mentale: revue systématique de la littérature,L'Encéphale,Elsevier BV,"Physical sciences, Astronomy"
10.1016/j.jclinane.2021.110244,2021,The use of post-anaesthesia care units as a supply of ICU beds while maintaining scheduled surgery: A cross-sectional web-based feasibility survey in France,Journal of Clinical Anesthesia,Elsevier BV,Chemistry
10.1109/ICC42927.2021.9500359,2021,A Right Placement Makes a Happy Emulator: a Placement Module for Distributed SDN/NFV Emulation,ICC 2021 - IEEE International Conference on Communications,IEEE,"Computer and 
 information sciences"
10.1007/978-3-030-65351-4_48,2021,Interest Clustering Coefficient: A New Metric for Directed Networks Like Twitter,Complex Networks &amp; Their Applications IX,Springer International Publishing,Biology (fond.)
10.1038/s41467-021-22156-6,2021,Statistics of pathogenic bacteria in the search of host cells,Nature Communications,Springer Science and Business Media LLC,Chemistry
10.1137/19M1268173,2021,A Macroscopic Traffic Flow Model Accounting for Bounded Acceleration,SIAM Journal on Applied Mathematics,Society for Industrial & Applied Mathematics (SIAM),Mathematics
10.1007/s10686-021-09705-z,2021,All-sky visible and near infrared space astrometry,Experimental Astronomy,Springer Science and Business Media LLC,Biology (fond.)
10.3389/fimmu.2021.630096,2021,Club Cell Loss as a Feature of Bronchiolization in ILD,Frontiers in Immunology,Frontiers Media SA,Medical research
10.1016/j.polgeo.2021.102375,2021,‘Pandemopolitics’ in Serbia: The resurgence of nationalism?,Political Geography,Elsevier BV,Biology (fond.)
10.3389/fmed.2021.627967,2021,Procalcitonin and C-Reactive Protein/Procalcitonin Ratio as Markers of Infection in Patients With Solid Tumors,Frontiers in Medicine,Frontiers Media SA,"Computer and 
 information sciences"
10.1007/s00415-021-10452-6,2021,"Hematopoietic stem cell transplantation in chronic inflammatory demyelinating polyneuropathy: French experience about four patients, under the behalf of French society for bone marrow transplantation",Journal of Neurology,Springer Science and Business Media LLC,"Computer and 
 information sciences"
10.1016/j.survophthal.2021.01.008,2021,Orbital exenteration: an updated review with perspectives,Survey of Ophthalmology,Elsevier BV,"Computer and 
 information sciences"
10.1111/ene.14790,2021,Untreated patients with multiple sclerosis: A study of French expert centers,European Journal of Neurology,Wiley,"Computer and 
 information sciences"
10.4324/9780429056185,2019,Complex Situations in Coaching,,Routledge,
10.1111/abac.12212,2021,Product Market Competition and Firms’ Disclosure of Cross‐segment Differences in Performance,Abacus,Wiley,Biology (fond.)
10.1109/IGARSS39084.2020.9324080,2020,Regularized Building Segmentation by Frame Field Learning,IGARSS 2020 - 2020 IEEE International Geoscience and Remote Sensing Symposium,IEEE,"Earth, Ecology, 
Energy and applied biology"
10.1016/j.csda.2020.107159,2021,A new class of stochastic EM algorithms. Escaping local maxima and handling intractable sampling,Computational Statistics &amp; Data Analysis,Elsevier BV,"Computer and 
 information sciences"
10.1007/978-3-030-68201-9_32,2021,An Exploratory Study into Graduate Students’ Attitudes Towards Peer Assessment,Advances in Intelligent Systems and Computing,Springer International Publishing,"Computer and 
 information sciences"
10.1007/978-3-030-65351-4_35,2021,A Random Growth Model with Any Real or Theoretical Degree Distribution,Studies in Computational Intelligence,Springer International Publishing,"Computer and 
 information sciences"
10.1016/j.clinre.2020.07.019,2021,Risk factors of de novo malignancies after liver transplantation: a French national study on 11004 adult patients,Clinics and Research in Hepatology and Gastroenterology,Elsevier BV,"Earth, Ecology, 
Energy and applied biology"
10.1016/j.rhum.2021.02.024,2021,Recommandations françaises de la prise en charge et du traitement de l’ostéoporose masculine,Revue du Rhumatisme,Elsevier BV,Chemistry
10.1080/07053436.2021.1899399,2021,"Festival Scope, a festival-on-demand platform: Online enhancement of the gatekeeping power of film festivals",Loisir et Société / Society and Leisure,Informa UK Limited,"Earth, Ecology, 
Energy and applied biology"
10.1108/IJPSM-08-2020-0218,2021,Impact of e-leadership and team dynamics on virtual team performance in a public organization,International Journal of Public Sector Management,Emerald,Social sciences
10.2196/21795,2021,Attitudes of General Practitioners Toward Prescription of Mobile Health Apps: Qualitative Study,JMIR mHealth and uHealth,JMIR Publications Inc.,"Earth, Ecology, 
Energy and applied biology"
10.1007/978-3-030-67220-1_21,2021,"A Semantic-Aware, Accurate and Efficient API for (Co-)Simulation of CPS",Lecture Notes in Computer Science,Springer International Publishing,"Earth, Ecology, 
Energy and applied biology"
10.1016/j.isprsjprs.2021.02.012,2021,Floorplan generation from 3D point clouds: A space partitioning approach,ISPRS Journal of Photogrammetry and Remote Sensing,Elsevier BV,Biology (fond.)
10.1016/j.ekir.2021.01.022,2021,Analysis and Management of Rituximab Resistance in PLA2R1-Associated Membranous Nephropathy,Kidney International Reports,Elsevier BV,Medical research
10.1016/j.mednuc.2021.02.001,2021,Guide de rédaction des protocoles d’examens d’imagerie de la neurotransmission pour l’exploration des mouvements anormaux,Médecine Nucléaire,Elsevier BV,"Computer and 
 information sciences"
10.5334/irsp.357,2021,Legitimating Discrimination Against Students with Disability in School: The Role of Justifications of Discriminatory Behavior,International Review of Social Psychology,"Ubiquity Press, Ltd.",Social sciences
10.1007/978-3-030-68107-4_2,2021,Automatic Multiplanar CT Reformatting from Trans-Axial into Left Ventricle Short-Axis View,Lecture Notes in Computer Science,Springer International Publishing,"Computer and 
 information sciences"
10.1016/j.jcp.2020.110093,2021,A NURBS-based discontinuous Galerkin method for conservation laws with high-order moving meshes,Journal of Computational Physics,Elsevier BV,Chemistry
10.1016/j.jphotobiol.2021.112185,2021,"Bactericidal effect of Er,Cr:YSGG laser irradiation on endodontic biofilm: An ex vivo study",Journal of Photochemistry and Photobiology B: Biology,Elsevier BV,Chemistry
10.1038/s41540-021-00172-y,2021,Optimal proteome allocation and the temperature dependence of microbial growth laws,npj Systems Biology and Applications,Springer Science and Business Media LLC,Chemistry
10.1016/j.jfo.2020.05.016,2021,"Versatility of the epidermis, dermis fat graft for reconstructing complex orbital gunshot traumas",Journal Français d'Ophtalmologie,Elsevier BV,Medical research
10.1080/2162402X.2021.1901446,2021,Association of TRF2 expression and myeloid-derived suppressor cells infiltration with clinical outcome of patients with cutaneous melanoma,OncoImmunology,Informa UK Limited,Medical research
10.7554/eLife.67569,2021,Association of Toll-like receptor 7 variants with life-threatening COVID-19 disease in males: findings from a nested case-control study,eLife,"eLife Sciences Publications, Ltd",Medical research
10.1007/s00417-021-05124-0,2021,Letter to the editor: Keeping an eye on the many symptoms of COVID-19,Graefe's Archive for Clinical and Experimental Ophthalmology,Springer Science and Business Media LLC,"Earth, Ecology, 
Energy and applied biology"
10.1016/j.waojou.2021.100519,2021,Targeting immunoglobulin E in atopic dermatitis: A review of the existing evidence,World Allergy Organization Journal,Elsevier BV,"Earth, Ecology, 
Energy and applied biology"
10.1016/j.accpm.2021.100854,2021,Restrictive transfusion targets the heart now! Insight from the REALITY study,Anaesthesia Critical Care & Pain Medicine,Elsevier BV,"Computer and 
 information sciences"
10.1051/0004-6361/202039588,2021,Gaia Early Data Release 3,Astronomy &amp; Astrophysics,EDP Sciences,Medical research
10.1016/j.idnow.2020.11.003,2021,Cotrimoxazole for community-acquired urinary tract infections leads to more adverse effects than fluoroquinolones,Infectious Diseases Now,Elsevier BV,Medical research
10.1051/0004-6361/202040237,2021,<i>Euclid</i> preparation,Astronomy &amp; Astrophysics,EDP Sciences,Biology (fond.)
10.1177/1352458520984744,2021,MRI findings in blinded trials should be available to treating physicians – Yes,Multiple Sclerosis Journal,SAGE Publications,"Physical sciences, Astronomy"
